School,City,State,Earnings,Cost,Grad,Loans,Urban,Size
Stonehill College,Easton,MA,74551,34102,80,66,0,Medium
SUNY at Albany,Albany,NY,69785,18355,67,62,1,Medium
SUNY College at Geneseo,Geneseo,NY,64994,19371,75,62,0,Medium
SUNY Polytechnic Institute,Utica,NY,35931,14133,59,61,0,Medium
Syracuse University ,Syracuse,NY,73883,34683,82,38,1,Medium
Texas A&M University-College Station,College Station,TX,73661,18919,83,29,1,Large
Texas Christian University,Fort Worth,TX,65266,39942,81,28,1,Medium
The Catholic University of America ,Washington,DC,71180,34684,75,57,1,Medium
The College of New Jersey,Ewing,NJ,75229,28245,85,52,0,Medium
The College of Saint Scholastica,Duluth,MN,50616,22545,72,64,1,Medium
The University of Texas at Arlington,Arlington,TX,54644,15509,58,37,1,Large
The University of Texas at Austin,Austin,TX,68232,18350,81,34,1,Large
The University of Texas at Dallas,Richardson,TX,56542,15526,70,25,1,Large
Towson University,Towson,MD,62761,18105,74,53,1,Large
University at Buffalo,Buffalo,NY,60342,19262,72,51,0,Large
University of Connecticut,Storrs,CT,70919,22974,83,42,0,Large
University of Dayton,Dayton,OH,64044,29928,78,55,1,Medium
University of Delaware,Newark,DE,76288,18967,81,53,0,Large
University of Georgia,Athens,GA,66910,14257,85,28,1,Large
University of Illnois Urbana-Champaign,Champaign,IL,70814,14321,86,35,1,Large
University of Iowa,Iowa City,IA,68215,19401,72,46,1,Large
University of Maryland-College Park,College Park,MD,72087,18048,83,27,0,Large
University of Massachusetts-Amherst,Amherst,MA,73746,22038,78,52,0,Large
University of Minnesota-Crookston,Crookston,MN,47905,11593,55,62,0,Small
University of Minnesota-Duluth,Duluth,MN,61141,18505,61,62,1,Medium
University of Minnesota-Twin Cities,Minneapolis,MN,71019,17878,80,42,1,Large
University of North Dakota,Grand Forks,ND,54616,16966,50,59,1,Medium
University of Northern Iowa,Cedar Falls,IA,60640,16438,66,54,1,Medium
University of Notre Dame,Notre Dame,IN,80647,31101,96,28,0,Medium
University of Portland,Portland,OR,60165,37029,82,46,1,Medium
University of Rhode Island,Kingston,RI,59019,18638,69,73,0,Medium
University of Richmond,Richmond,VA,73053,27050,84,32,1,Medium
University of San Diego ,San Diego,CA,75083,34139,80,40,1,Medium
University of San Francisco ,San Francisco,CA,75225,40053,77,53,1,Medium
University of Scranton,Scranton,PA,71557,34378,78,70,1,Medium
University of Southern California,Los Angeles,CA,78710,32569,93,27,1,Large
University of St. Thomas,Saint Paul,MN,64924,31066,76,51,1,Medium
University of Washington,Seattle,WA,65111,12017,84,22,1,Large
